tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,5ttcuPDIBkKFVqJ2t3vW-W79UGJJubvdIh6huQhg9l9-ABQQO1Y2e4GVGQ,iamoookay,272,76,57,False,False,False,False
GRANDMASTER,PsmoFPMJamK7NKZ7TxlvXRjdrnOfswdfxsTyuZ_cxxZ_B6Ta,DK Pullbae,318,75,71,False,False,False,False
GRANDMASTER,dw5i02GUKCcysETws_5i9LPsyBkY3vsxggXVW5ITxCf15UspTG2inDtWxw,waiga,226,67,48,False,False,True,False
GRANDMASTER,e2ym7Yl7xMu4C8p4zu3Ck_2sQch_Sm362QMUTWhHc8ic-l4,콜르키,215,90,73,False,False,True,True
GRANDMASTER,98whrimNXiE0eS8K_fdvIQQmw5DucsQ6LRUgqWzY3jHPPvDhplMMqZTJrg,NiHuiZaiNaNeIlI,324,86,62,False,False,True,False
GRANDMASTER,1c2hCXHKwckXPEW07piZ8EiEtZvqv7hCnw_oDC4D_pMCxUc,LSB Envy,497,136,113,False,False,True,False
GRANDMASTER,Q7MzsaSMkVgwN6IZNb2tvNccEZflJIshbcNygcuntWQPr5c,히히 못먹어,236,212,212,True,False,False,False
GRANDMASTER,qaZ65RHyY0Kq-Xrr3AafcZZb1NDFOno5XSAH1u6IoxgpfgY,푹 쉬면서 해요 ,200,40,35,False,False,False,False
GRANDMASTER,PyQwwW_fvGZnkcK-6O_0-am0POIy2j8OwOLTZsnkH4i2HfHk,Aileri,304,73,63,False,False,False,False
GRANDMASTER,HsdI83UvuP1zH4Sb-55YpgZ_cbvB-FazAfMzYAvnXusVqfs,댕실댕실이,334,152,133,False,False,False,False
GRANDMASTER,_gOlKwhod6rX5i_QbznzepyejapOif--7vnHx7EH6OOrVho,Gen G Quad,300,74,57,False,False,False,False
GRANDMASTER,ywyOLQaFKfOuM1egrj-kiuQ1_c2tkqOIPdi2dAcU16FP2uY,sldjsm,424,179,163,False,False,True,False
GRANDMASTER,RBbU0zJgKw1bV_FZn9oa3UwusEzo1zA0RBfhuNeUFz_AF84,2005 05 01,260,149,134,False,False,False,False
GRANDMASTER,d-Xyw0KoS6VZKmkxf9CHdWucWWekRoCVpfU47TlSUDZb2XsRtZ9H_tKdSg,구글 롤브라더스,265,129,120,False,False,False,False
GRANDMASTER,7E6AkpH555zoFDSqDnQSGzK0SqudUw-vJVvWqmMsQosWiqs,오이동생,307,185,185,False,False,False,False
GRANDMASTER,bXou3O7ty7HLTQGYbnzdqbBaPOc9LHllr1ocRnJunXidfJo,힘들어귀찮아그만,374,96,78,False,False,False,True
GRANDMASTER,vN52Ld1o4B78MNwMkosdKb-zimUc3SzswhLsLTbt9eUfUACnOwYkztMplA,NA Nellum,215,59,47,False,False,True,False
GRANDMASTER,JimZJXeFLUTZUoyQHXDW-zbdCWezpNI6T5GerAabGpDA_Co,Tiger Den,246,41,21,False,False,True,False
GRANDMASTER,58IQSgHDuyvEFWF5a7wgv8ZQ3Y4hzOs-7dnhZETzS7Bz1SCY,LSB Courage,305,66,53,False,False,False,False
GRANDMASTER,sZcoEiM5a7iVsjjW1HQljekVnUGL89fLyJvWzWTe3vSwrVm3,haoye,422,139,125,False,False,False,True
GRANDMASTER,Ka4HQhRN6y0t_YtQvL9zHyU1Nv7vYllqOfkX2D2A4v0MN_8,ZED99,354,51,27,False,False,True,False
GRANDMASTER,5hrlIbgWs62p2hI17DvQ7VqyXdFRh_s-L3p-QACDbIspCIE,HLE Karis1,424,54,40,False,False,False,False
GRANDMASTER,goFJ-PJ2iteDDYa-FIybQBu9SZYDqDw0W00AorL0QZ-yZA,섹파스,223,109,89,False,False,True,False
GRANDMASTER,WcTztEo7U_RxhD6_cpmYPkNI_Hlf0jSBPHpdPBVyJ3noYaU, 이성조,243,45,38,False,False,True,False
GRANDMASTER,ukUQm6p3dgdHNaQHzqEweRuYB4lgMkzJMZNlbpcneOknsGc,주사위굴리는놈,217,131,117,False,False,True,True
GRANDMASTER,WwPtDhaiTD5ZwJgyaJYzOElNRs8QYz96Y-MYXv1K8vYAJMipGCQFGXU5SQ,ggg666,369,109,92,False,False,False,False
GRANDMASTER,o6CyTpFjYNxq214TXV5zjYCwNu-HSU4GaK7MzzjdTD3JILU,인생뭐있냠,200,99,78,False,False,True,True
GRANDMASTER,6RoQKQtMqyiYksTAKXCh4kvuvvp8c2VscupnPr7LP1lPyGc,Gon123,229,153,157,False,False,True,False
GRANDMASTER,DxJMmwaek9ePmJM1TFkfv8p_RrVeAuYKPQ38TEe4-3L7bMQ,IM JBD,231,65,56,False,False,False,False
GRANDMASTER,PccPxzijKN0vOYzllu59_0gw7wPUwbRHxxDjYO9Ld6nceQ,검은머리사나이,403,108,87,False,False,False,False
